ARQUIVO,NUMERO DE DESENDENTES,TAMANHO DA POPULACAO,CRITERIO DE PARADA,TAXA DE MUTACAO,TAXA DE CROSSOVER, NUMERO DE GERACOES,GENES,RESULTADO,SOLUCAO,GAP,TEMPO DE EXECUCAO
esc16a.dat,10,30,2,0.4,0.5,100,[ 16 12 6 15 4 2 11 7 3 8 9 13 14 10 5 1 ],80,68,0.17647058823529413,13.055083495
esc16a.dat,10,30,2,0.4,0.5,100,[ 5 13 9 11 1 6 8 7 3 15 2 14 12 4 16 10 ],76,68,0.11764705882352941,12.399859182
esc16a.dat,10,30,2,0.4,0.5,100,[ 6 7 1 2 16 14 13 15 8 5 3 9 10 4 11 12 ],82,68,0.20588235294117646,12.896057723
esc16a.dat,10,30,2,0.4,0.5,100,[ 13 5 1 9 3 12 16 15 7 11 4 6 10 14 8 2 ],80,68,0.17647058823529413,12.527929715
esc16a.dat,10,30,10,0.4,0.5,100,[ 13 3 6 8 11 9 1 7 5 15 14 4 10 2 16 12 ],76,68,0.11764705882352941,60.576708439
esc16a.dat,10,30,2,0.4,0.5,100,[ 9 5 16 12 1 7 10 15 11 13 8 3 14 6 4 2 ],80,68,0.17647058823529413,12.862024612
esc16a.dat,10,30,2,0.4,0.5,100,[ 4 7 11 15 6 14 10 12 8 16 1 2 3 5 9 13 ],76,68,0.11764705882352941,12.351882255
esc16a.dat,10,30,2,0.4,0.5,100,[ 3 12 15 10 2 5 14 8 7 13 11 16 1 4 6 9 ],78,68,0.14705882352941177,12.103943509
esc16a.dat,10,30,2,0.4,0.5,100,[ 9 10 2 8 13 5 7 6 14 1 4 15 3 12 16 11 ],78,68,0.14705882352941177,12.62169987

esc16a.dat,10,30,5,0.4,0.5,100,[ 13 11 7 6 15 10 14 1 5 9 16 3 8 2 4 12 ],76,68,0.11764705882352941,30.701986432
esc16a.dat,10,30,20,0.4,0.5,100,[ 7 16 9 1 8 12 4 3 11 15 10 13 5 6 2 14 ],74,68,0.08823529411764706,120.679079964

esc16a.dat,10,30,1,0.4,0.5,100,[ 6 1 13 4 14 16 8 10 5 2 9 12 15 3 11 7 ],80,68,0.17647058823529413,6.672392565
esc16a.dat,10,30,1,0.4,0.5,100,[ 4 2 16 15 3 9 1 10 12 11 8 5 6 13 14 7 ],80,68,0.17647058823529413,6.459758803
esc16a.dat,10,30,1,0.4,0.5,100,[ 5 13 1 14 15 8 16 3 6 7 2 9 10 4 12 11 ],76,68,0.11764705882352941,6.895302727
esc16a.dat,10,30,1,0.4,0.5,100,[ 5 2 8 1 13 9 10 14 7 6 11 12 4 15 3 16 ],82,68,0.20588235294117646,6.287389846
esc16a.dat,10,30,1,0.4,0.5,100,[ 15 9 11 12 10 4 16 2 14 6 5 7 13 8 3 1 ],84,68,0.23529411764705882,6.149495335
esc16a.dat,10,30,1,0.4,0.5,100,[ 7 11 16 12 1 6 13 8 5 3 15 10 4 14 9 2 ],86,68,0.2647058823529412,6.259811353
esc16a.dat,10,30,1,0.4,0.5,100,[ 1 7 15 5 2 10 11 13 9 3 16 12 8 6 4 14 ],76,68,0.11764705882352941,6.256374254
esc16a.dat,10,30,1,0.4,0.5,100,[ 16 8 1 6 15 11 12 3 4 7 9 2 10 5 14 13 ],76,68,0.11764705882352941,6.05679835
esc16a.dat,10,30,1,0.4,0.5,100,[ 5 1 9 4 7 13 8 14 6 2 11 10 3 16 12 15 ],80,68,0.17647058823529413,6.38395254
esc16a.dat,10,30,1,0.4,0.5,100,[ 14 7 5 13 8 4 12 10 2 6 16 11 1 3 15 9 ],80,68,0.17647058823529413,6.648056983
esc16a.dat,10,30,5,0.4,0.5,100,[ 3 4 7 5 12 9 15 13 1 11 16 14 8 10 2 6 ],78,68,0.14705882352941177,30.393917336
esc16a.dat,10,30,5,0.4,0.5,100,[ 15 7 5 13 6 12 10 14 16 8 2 9 3 11 4 1 ],74,68,0.08823529411764706,30.689507035
esc16a.dat,10,30,5,0.4,0.5,100,[ 7 11 16 13 3 2 1 5 9 15 12 6 14 8 4 10 ],78,68,0.14705882352941177,30.429659554
